raceId,year,round,circuitId,driverId,constructorId,grid,positionOrder,Top 3 Finish,driverAvgFinish,constructorAvgFinish,driverWinRate,driverPodiumRate,constructorWinRate,constructorPodiumRate,averagePitStopDuration,points,position,wins
158,2000,1,1,30,6,3,1,1,6.87987012987013,8.338675664276677,0.29545454545454547,0.5032467532467533,0.10248840151834669,0.34289329396878954,23843.0,16.0,1.0,1.0
158,2000,1,1,22,6,4,2,1,10.33435582822086,8.338675664276677,0.03374233128834356,0.2085889570552147,0.10248840151834669,0.34289329396878954,23843.0,16.0,1.0,1.0
158,2000,1,1,23,3,11,3,1,9.866666666666667,10.950901180857675,0.03333333333333333,0.15,0.07085146053449347,0.19515226848974518,23843.0,4.0,2.0,0.0
158,2000,1,1,35,16,8,4,0,10.254545454545454,11.415254237288135,0.06666666666666667,0.1393939393939394,0.0,0.0635593220338983,23843.0,4.0,3.0,0.0
158,2000,1,1,21,22,9,5,0,10.991341991341992,10.163461538461538,0.012987012987012988,0.08225108225108226,0.051923076923076926,0.19615384615384615,23843.0,2.0,4.0,0.0
158,2000,1,1,41,16,16,6,0,13.394736842105264,11.415254237288135,0.0,0.0,0.0,0.0635593220338983,23843.0,4.0,3.0,0.0
158,2000,1,1,25,22,14,7,0,11.420289855072463,10.163461538461538,0.0,0.043478260869565216,0.051923076923076926,0.19615384615384615,23843.0,2.0,4.0,0.0
158,2000,1,1,48,18,18,8,0,13.555555555555555,15.833333333333334,0.0,0.0,0.0,0.0,23843.0,0.0,5.0,0.0
158,2000,1,1,2,20,15,9,0,10.722826086956522,13.272727272727273,0.0,0.07065217391304347,0.0,0.01818181818181818,23843.0,0.0,6.0,0.0
158,2000,1,1,63,15,10,10,0,12.09009009009009,12.901140684410647,0.0,0.018018018018018018,0.0,0.012674271229404309,23843.0,0.0,0.0,0.0
158,2000,1,1,18,3,21,11,0,9.6957928802589,10.950901180857675,0.04854368932038835,0.16181229773462782,0.07085146053449347,0.19515226848974518,23843.0,4.0,2.0,0.0
158,2000,1,1,64,15,19,12,0,14.565656565656566,12.901140684410647,0.0,0.0,0.0,0.012674271229404309,23843.0,0.0,0.0,0.0
158,2000,1,1,60,18,22,13,0,14.19047619047619,15.833333333333334,0.0,0.0,0.0,0.0,23843.0,0.0,5.0,0.0
158,2000,1,1,49,17,5,14,0,11.081761006289309,13.146,0.018867924528301886,0.11320754716981132,0.008,0.038,23843.0,0.0,0.0,0.0
158,2000,1,1,15,17,6,15,0,12.359375,13.146,0.00390625,0.04296875,0.008,0.038,23843.0,0.0,0.0,0.0
158,2000,1,1,55,20,17,16,0,11.252475247524753,13.272727272727273,0.0049504950495049506,0.15841584158415842,0.0,0.01818181818181818,23843.0,0.0,6.0,0.0
158,2000,1,1,57,1,1,17,0,9.884848484848485,9.64690026954178,0.12121212121212122,0.3090909090909091,0.09649595687331536,0.2587601078167116,23843.0,0.0,0.0,0.0
158,2000,1,1,50,21,13,18,0,14.242990654205608,14.320338983050847,0.0,0.018691588785046728,0.0,0.013559322033898305,23843.0,0.0,0.0,0.0
158,2000,1,1,14,1,2,19,0,9.48582995951417,9.64690026954178,0.05263157894736842,0.25101214574898784,0.09649595687331536,0.2587601078167116,23843.0,0.0,0.0,0.0
158,2000,1,1,37,21,12,20,0,15.345794392523365,14.320338983050847,0.0,0.009345794392523364,0.0,0.013559322033898305,23843.0,0.0,0.0,0.0
158,2000,1,1,56,19,7,21,0,11.006802721088436,12.970588235294118,0.027210884353741496,0.17687074829931973,0.0,0.011764705882352941,23843.0,0.0,0.0,0.0
158,2000,1,1,65,19,20,22,0,12.903030303030302,12.970588235294118,0.01818181818181818,0.04242424242424243,0.0,0.011764705882352941,23843.0,0.0,0.0,0.0
159,2000,2,18,30,6,3,1,1,6.87987012987013,8.338675664276677,0.29545454545454547,0.5032467532467533,0.10248840151834669,0.34289329396878954,23843.0,26.0,1.0,2.0
159,2000,2,18,21,22,5,2,1,10.991341991341992,10.163461538461538,0.012987012987012988,0.08225108225108226,0.051923076923076926,0.19615384615384615,23843.0,8.0,2.0,0.0
159,2000,2,18,49,17,7,3,1,11.081761006289309,13.146,0.018867924528301886,0.11320754716981132,0.008,0.038,23843.0,7.0,3.0,0.0
159,2000,2,18,15,17,12,4,0,12.359375,13.146,0.00390625,0.04296875,0.008,0.038,23843.0,7.0,3.0,0.0
159,2000,2,18,23,3,11,5,0,9.866666666666667,10.950901180857675,0.03333333333333333,0.15,0.07085146053449347,0.19515226848974518,23843.0,7.0,4.0,0.0
159,2000,2,18,18,3,9,6,0,9.6957928802589,10.950901180857675,0.04854368932038835,0.16181229773462782,0.07085146053449347,0.19515226848974518,23843.0,7.0,4.0,0.0
159,2000,2,18,50,21,14,7,0,14.242990654205608,14.320338983050847,0.0,0.018691588785046728,0.0,0.013559322033898305,23843.0,0.0,6.0,0.0
159,2000,2,18,37,21,16,8,0,15.345794392523365,14.320338983050847,0.0,0.009345794392523364,0.0,0.013559322033898305,23843.0,0.0,6.0,0.0
159,2000,2,18,41,16,8,9,0,13.394736842105264,11.415254237288135,0.0,0.0,0.0,0.0635593220338983,23843.0,4.0,5.0,0.0
159,2000,2,18,60,18,20,10,0,14.19047619047619,15.833333333333334,0.0,0.0,0.0,0.0,23843.0,0.0,7.0,0.0
159,2000,2,18,14,1,2,11,0,9.48582995951417,9.64690026954178,0.05263157894736842,0.25101214574898784,0.09649595687331536,0.2587601078167116,23843.0,0.0,0.0,0.0
